Trials,Blocksize,MegatrialsPerSecond,Probability
1024,8,32.2581,25.59
1024,32,31.2500,24.71
1024,64,31.2500,25.00
1024,128,32.2581,24.90
4096,8,125.0000,26.32
4096,32,125.0000,27.25
4096,64,121.2121,26.10
4096,128,125.0000,26.98
16384,8,444.4444,26.74
16384,32,484.8485,26.57
16384,64,516.1290,26.29
16384,128,484.8485,27.32
65536,8,1362.6081,27.09
65536,32,1748.9326,26.91
65536,64,1788.6463,26.78
65536,128,1659.6435,26.71
262144,8,2831.6627,26.84
262144,32,4776.6763,27.13
262144,64,4998.1695,26.72
262144,128,4955.8378,26.70
1048576,8,4124.8741,26.90
1048576,32,9473.2581,26.83
1048576,64,9869.8798,26.85
1048576,128,10144.8919,26.88
2097152,8,4450.9643,26.96
2097152,32,12752.6762,26.80
2097152,64,11883.2279,26.87
2097152,128,12284.1615,26.89
